id;car_name;car_model;car_reference;car_year;car_price
1;whether;who;musician cautiously;6101;6374
2;puzzle once compass;after phooey cautiously;brainstorm;30036;11202
3;as jell;whoa palate;unwieldy who;7609;29813
4;at;indeed;sneaky;9379;28909
5;when mortally;wholly wherever stark;after inasmuch whoa;28279;23557
6;vaguely unnaturally;ha;ick;25551;18607
7;wraparound instead fritter;too;out wherever suffocate;29819;30182
8;boo;joshingly after;until shyly;24664;6973
9;ack;yahoo but portly;joyously;23322;21981
10;unlace who;earnest;compensate rapidly;8650;31698
